Date,Sales
1964-01-01,637
1964-02-01,415
1964-03-01,605
1964-04-01,504
1964-05-01,526
1964-06-01,535
1964-07-01,478
1964-08-01,463
1964-09-01,465
1964-10-01,489
1964-11-01,733
1964-12-01,608
1965-01-01,679
1965-02-01,510
1965-03-01,556
1965-04-01,493
1965-05-01,470
1965-06-01,497
1965-07-01,556
1965-08-01,486
1965-09-01,601
1965-10-01,439
1965-11-01,683
1965-12-01,719
1966-01-01,598
1966-02-01,484
1966-03-01,486
1966-04-01,589
1966-05-01,510
1966-06-01,520
1966-07-01,510
1966-08-01,526
1966-09-01,438
1966-10-01,513
1966-11-01,640
1966-12-01,720
1967-01-01,806
1967-02-01,507
1967-03-01,593
1967-04-01,516
1967-05-01,565
1967-06-01,610
1967-07-01,537
1967-08-01,522
1967-09-01,543
1967-10-01,578
1967-11-01,650
1967-12-01,768
1968-01-01,715
1968-02-01,496
1968-03-01,548
1968-04-01,491
1968-05-01,612
1968-06-01,498
1968-07-01,491
1968-08-01,485
1968-09-01,573
1968-10-01,555
1968-11-01,695
1968-12-01,818
1969-01-01,658
1969-02-01,528
1969-03-01,591
1969-04-01,596
1969-05-01,638
1969-06-01,542
1969-07-01,591
1969-08-01,605
1969-09-01,492
1969-10-01,501
1969-11-01,806
1969-12-01,682
1970-01-01,601
1970-02-01,573
1970-03-01,611
1970-04-01,603
1970-05-01,602
1970-06-01,554
1970-07-01,566
1970-08-01,615
1970-09-01,588
1970-10-01,476
1970-11-01,825
1970-12-01,740
1971-01-01,717
1971-02-01,612
1971-03-01,583
1971-04-01,474
1971-05-01,618
1971-06-01,668
1971-07-01,602
1971-08-01,552
1971-09-01,522
1971-10-01,548
1971-11-01,851
1971-12-01,739
1972-01-01,669
1972-02-01,659
1972-03-01,539
1972-04-01,638
1972-05-01,619
1972-06-01,612
1972-07-01,677
1972-08-01,522
1972-09-01,645
1972-10-01,642
1972-11-01,771
1972-12-01,804
